move_prefix_hash	position_key	matched_ply	eco	name	family	lineage	frequency	sample_count	confidence
58a0e6a8f2aeb5e3	04a22f4eef837aac	7	B13	Caro-Kann Defense: Panov Attack	B	semi_open/caro_kann	1	1	0.9000
9b222819ef55f248	0586255590d39c67	13	E08	Catalan Opening: Closed	E	indian/catalan	1	1	0.9800
6404775c1a960e22	0781db79a8a749a2	1	A40	Queen's Pawn Game	A	queen_pawn/queen_pawn_system	37	37	0.6000
c053764d098d515f	07abb788d009ea02	14	B19	Caro-Kann Defense: Classical Variation	B	semi_open/caro_kann	1	1	0.9800
54760006b5aee9f3	096df5fda4074753	4	B02	Alekhine Defense: Normal Variation	B	semi_open/alekhine	3	3	0.7500
b0f9969f20217b1a	09aeaba301a80301	3	D00	Queen's Pawn Game	D	queen_pawn/queen_pawn_system	2	2	0.7000
027bd77d961c4cda	0ab83b9329a30c87	8	C08	French Defense: Tarrasch Variation, Open System	C	open_games/french	1	1	0.9500
db9311015959f3ea	0b2d32db8c70ec3e	4	D06	Queen's Gambit Declined: Marshall Defense	D	queen_pawn/queens_gambit	1	1	0.7500
9cd21b571bcdb49b	0c0ba05dd7cc4f93	8	B08	Pirc Defense: Classical Variation	B	semi_open/pirc_modern	1	1	0.9500
e40649c067f67222	0dbc3a18a700070b	12	C14	French Defense: Classical Variation	C	open_games/french	1	1	0.9800
49f3c26c8a875ca2	0e51daabf67b754c	8	B13	Caro-Kann Defense: Exchange Variation	B	semi_open/caro_kann	1	1	0.9500
c165ff29edfb6623	10786f1129156f3a	2	A10	English Opening: Anglo-Dutch Defense	A	flank/english	1	1	0.6500
2dc147d4e33cc41c	10af71093ad638bc	7	E30	Nimzo-Indian Defense: Leningrad Variation	E	indian/nimzo_indian	1	1	0.9000
90c0cdb075954b1c	126def80828c6254	2	B10	Caro-Kann Defense	B	semi_open/caro_kann	9	9	0.6500
d12b82992212dce3	140cde96c6e16eb3	11	C15	French Defense: Winawer Variation, Winckelmann-Reimer Gambit	C	open_games/french_winawer	1	1	0.9800
2ebcaa236aec3ec7	14fbefea427824c3	7	D24	Queen's Gambit Accepted: Showalter Variation	D	queen_pawn/queens_gambit	1	1	0.9000
f7befc3098f9cd03	159fe23760b02521	10	B14	Caro-Kann Defense: Panov Attack	B	semi_open/caro_kann	1	1	0.9800
e44174e462d0edf3	161f9a0f04d0e0fc	2	A40	Queen's Pawn Game: Modern Defense	A	semi_open/pirc_modern	1	1	0.6500
e1168895ab85fdf1	1922db7f6eec5824	4	C21	Center Game Accepted	C	open_games/center_game	1	1	0.7500
f3850383e77337b4	193f431482d70960	5	E00	Catalan Opening	E	indian/catalan	1	1	0.8000
3d1419e95fac4198	1c79c04f69db1053	2	A02	Bird Opening: From's Gambit	A	flank/bird	1	1	0.6500
3e8db43daed3851a	1d280bf6dbcdb786	1	B00	King's Pawn Game	B	open_games/kings_pawn	39	39	0.6000
39c83fdf01952f0f	1f3f6023ce6fb24f	7	C16	French Defense: Winawer Variation, Advance Variation	C	open_games/french_winawer	3	3	0.9000
1612c19e5670cec3	1f3f6023ce6fb24f	7	C16	French Defense: Winawer Variation, Advance Variation	C	open_games/french_winawer	1	1	0.9000
5a612f0003c69d29	1ff7d76c17f8f140	6	D07	Queen's Gambit Declined: Chigorin Defense, Tartakower Gambit	D	queen_pawn/queens_gambit	1	1	0.8500
ddda5ea35fd15527	208db533529c61bb	9	E06	Catalan Opening: Closed	E	indian/catalan	1	1	0.9800
ef4e505ef88c1029	208db533529c61bb	9	E06	Catalan Opening: Closed	E	indian/catalan	1	1	0.9800
c08bb8814f14e554	208db533529c61bb	9	E06	Catalan Opening: Closed	E	indian/catalan	1	1	0.9800
8e9609c3bc8ed82a	21df8a41a3c869f1	6	C11	French Defense: Classical Variation	C	open_games/french	4	4	0.8500
0151bb2d5a5680e8	24bfd43e22c5ab64	7	E21	Nimzo-Indian Defense: Three Knights Variation	E	indian/nimzo_indian	1	1	0.9000
7897c4f8feecc880	26ab32eeceff5092	2	A05	Zukertort Opening	A	flank/zukertort	3	3	0.6500
e7ecdcdcc29d7960	2710b3194e8ff51e	2	A15	English Opening: Anglo-Indian Defense	A	flank/english	4	4	0.6500
c271f24e9b359e33	2885f45361e8ce5d	15	E09	Catalan Opening: Closed, Main Line	E	indian/catalan	1	1	0.9800
8fbe4622ee791da7	2c72da0e58286042	7	B15	Caro-Kann Defense: Main Line	B	semi_open/caro_kann	2	2	0.9000
9d8fd9b66c134df0	2c72da0e58286042	7	B15	Caro-Kann Defense: Main Line	B	semi_open/caro_kann	1	1	0.9000
eae9d4e091dcceb8	2ed0a1f5cb877c6e	2	C00	French Defense	C	open_games/french	18	18	0.6500
218372bb1eaea824	30015cdf230a4dfb	3	B20	Sicilian Defense: Bowdler Attack	B	semi_open/sicilian	1	1	0.7000
8d37aa29b9b251a1	30776784783c0a09	4	D00	Queen's Pawn Game	D	queen_pawn/queen_pawn_system	2	2	0.7500
77f79ac764ce6568	30dc56517eeb5d44	5	B02	Alekhine Defense: Two Pawns Attack	B	semi_open/alekhine	1	1	0.8000
308bb7e8d847feda	31a5648dd1cacc1a	2	A20	English Opening: King's English Variation	A	flank/english	2	2	0.6500
74c1df34f647391a	339fd59d88c4637f	3	B10	Caro-Kann Defense	B	semi_open/caro_kann	1	1	0.7000
481526260cd40a1e	34f1ab7ea3035b44	5	D03	Queen's Pawn Game: Torre Attack	D	queen_pawn/queen_pawn_system	1	1	0.8000
2f2f29a37617e662	3736565f2096fc5f	5	D11	Slav Defense: Modern Line	D	queen_pawn/slav	2	2	0.8000
abb75bcfd7886dba	3736565f2096fc5f	5	D11	Slav Defense: Modern Line	D	queen_pawn/slav	1	1	0.8000
6a948ca758fdd214	383e1f011619dca4	2	B01	Scandinavian Defense	B	semi_open/scandinavian	2	2	0.6500
706125618fccc0f0	3951e7826cc00d34	8	C12	French Defense: McCutcheon Variation	C	open_games/french	1	1	0.9500
8f5860b29cdf8b6c	3a0cda01cb2a8b84	2	A40	Horwitz Defense	A	horwitz_defense	5	5	0.6500
afdc1cc1f163696e	3b3f12a57ecec2d0	4	D10	Slav Defense	D	queen_pawn/slav	2	2	0.7500
83d9b9750cb753e2	3b3f12a57ecec2d0	4	D10	Slav Defense	D	queen_pawn/slav	2	2	0.7500
2f83a3c1a646ce9b	3dadca1c872ebe4e	2	A00	Hungarian Opening: Sicilian Invitation	A	semi_open/sicilian	1	1	0.6500
3f64156e626a8e01	3e02247db833dcc4	11	E17	Queen's Indian Defense: Classical Variation	E	indian/queens_indian	1	1	0.9800
87aca774f160081a	3f82e05b237d09e2	6	A08	King's Indian Attack: French Variation	A	flank/kings_indian_attack	1	1	0.8500
669a90a171a9ca8e	4242dc81026d779d	12	C18	French Defense: Winawer Variation, Advance Variation	C	open_games/french_winawer	1	1	0.9800
18b6a392ae5860ee	45618b8d1ecc2415	4	A05	King's Indian Attack: Symmetrical Defense	A	flank/kings_indian_attack	1	1	0.7500
7122eda8096a8a9d	47cb1545fdd24e37	5	B15	Caro-Kann Defense	B	semi_open/caro_kann	3	3	0.8000
4217be54f850eda4	49977dd9fa6b88e0	8	E15	Queen's Indian Defense: Fianchetto Variation, Traditional Line	E	indian/queens_indian	1	1	0.9500
df3bff18ef67dacb	49a256c0cbf1b6e9	1	A01	Nimzo-Larsen Attack	A	flank/nimzo_larsen	1	1	0.6000
a57dfbb80bb16043	4c433d76814ce2f6	8	B18	Caro-Kann Defense: Classical Variation	B	semi_open/caro_kann	1	1	0.9500
86b1096ff40dd48f	4c433d76814ce2f6	8	B18	Caro-Kann Defense: Classical Variation	B	semi_open/caro_kann	1	1	0.9500
a7fcc8592962b0a3	4cb84cf3db90ede4	6	D04	Queen's Pawn Game: Colle System, Anti-Colle	D	queen_pawn/queen_pawn_system	1	1	0.8500
3e1083dba5207332	544c18afb35a039b	6	E12	Queen's Indian Defense	E	indian/queens_indian	2	2	0.8500
f0c0ac00bd10b3e0	54ab7e808b28440e	7	A46	Queen's Pawn Game: Veresov Attack, Classical Defense	A	queen_pawn/queen_pawn_system	1	1	0.9000
eeb01b9fd0cca991	5556db9f02f54ab9	9	B13	Caro-Kann Defense: Panov Attack	B	semi_open/caro_kann	1	1	0.9800
c0380be81c7fde5f	55d729dc35bec745	2	B06	Modern Defense	B	semi_open/pirc_modern	1	1	0.6500
2d58bdc0e7f1313e	56ba6a6f7efc28da	2	D00	Queen's Pawn Game	D	queen_pawn/queen_pawn_system	17	17	0.6500
981a20aa312331b1	5867157fbf446f2d	3	B00	Pirc Defense	B	semi_open/pirc_modern	1	1	0.7000
b50ca557df72e036	5b1d6498be1467fd	12	C13	French Defense: Alekhine-Chatard Attack, Breyer Variation	C	semi_open/alekhine	1	1	0.9800
d6b732d095155b41	5e2bbb28f7d0b934	11	C13	French Defense: Alekhine-Chatard Attack	C	semi_open/alekhine	1	1	0.9800
f8aad8bf5a92bfc7	5eceee1fda40050a	4	D20	Queen's Gambit Accepted	D	queen_pawn/queens_gambit	2	2	0.7500
bb2c6c7cd9029d80	60db91c842ebb9ed	3	A09	Réti Opening	A	flank/reti	1	1	0.7000
12391d3a526da5a6	61717b6a68dd9d8d	3	C20	English Opening: The Whale	C	flank/english	1	1	0.7000
ee3f8a703361244c	6273bedea258c865	4	B12	Caro-Kann Defense	B	semi_open/caro_kann	7	7	0.7500
a410c0c65a9c5cc7	62dab22cc034fa7b	3	A46	Indian Defense: Knights Variation	A	indian_defense	2	2	0.7000
aa043120bb59cf47	62dab22cc034fa7b	3	A46	Indian Defense: Knights Variation	A	indian_defense	2	2	0.7000
a028ed0768114657	633a3f282b3aac46	7	C07	French Defense: Tarrasch Variation, Open System, Süchting Line	C	open_games/french	1	1	0.9000
71f993a53c1d474d	6431795d58983863	9	D09	Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation	D	queen_pawn/albin	1	1	0.9800
52222f3eec8b5fdf	64491dad13744658	8	C17	French Defense: Winawer Variation, Advance Variation	C	open_games/french_winawer	3	3	0.9500
0cf21c6d8078baec	6470b706bdb9a5aa	5	D20	Queen's Gambit Accepted: Saduleto Variation	D	queen_pawn/queens_gambit	1	1	0.8000
80bbee85caa94b0b	65f2d8d3bfb59714	5	D10	Slav Defense	D	queen_pawn/slav	2	2	0.8000
b2e7fee12be09898	676b011d83b24188	5	C01	French Defense: Exchange Variation	C	open_games/french	1	1	0.8000
b4cef60fff25e651	67b1bccd060b5009	6	B03	Alekhine Defense	B	semi_open/alekhine	2	2	0.8500
3e3333c818fa487c	681a710723f59833	5	B03	Alekhine Defense	B	semi_open/alekhine	2	2	0.8000
2a2c4426cbcd8fc0	6876800db8520c1b	12	E07	Catalan Opening: Closed	E	indian/catalan	1	1	0.9800
41a4dae59865dbdc	698ea5f4ab827dd5	7	E15	Queen's Indian Defense: Fianchetto Variation	E	indian/queens_indian	1	1	0.9000
f37e24cc9905eb12	69e5d7aa0cac5f11	6	E00	Catalan Opening	E	indian/catalan	1	1	0.8500
1573e2f62804807f	69e5d7aa0cac5f11	6	E00	Catalan Opening	E	indian/catalan	1	1	0.8500
0047134449eb0ebd	6ab20ce11ce06ab4	8	E38	Nimzo-Indian Defense: Classical Variation, Berlin Variation	E	indian/nimzo_indian	1	1	0.9500
5c4712f3f8dce7e1	6b808e0d7f22b381	7	E32	Nimzo-Indian Defense: Classical Variation	E	indian/nimzo_indian	1	1	0.9000
e0109786a7f68cd8	6b808e0d7f22b381	7	E32	Nimzo-Indian Defense: Classical Variation	E	indian/nimzo_indian	1	1	0.9000
2722ad88139e6e72	6c4f4dc63ad02a7a	10	D16	Slav Defense: Steiner Variation	D	queen_pawn/slav	1	1	0.9800
104f96c544b7d965	6d474dff08c5db8e	10	A14	English Opening: Agincourt Defense, Neo-Catalan Declined, Early b3	A	flank/english	1	1	0.9800
d3e08c7c96b153ff	6f2e358e8e95e052	6	D07	Queen's Gambit Declined: Chigorin Defense, Main Line	D	queen_pawn/queens_gambit	1	1	0.8500
1c0a385689403858	702a483d9c122c26	6	C10	French Defense: Marshall Gambit	C	open_games/french	1	1	0.8500
158bedbc956664e2	732a89f6d7f7904b	4	B06	Modern Defense	B	semi_open/pirc_modern	1	1	0.7500
f4fb8dd27028f6b7	732a89f6d7f7904b	4	B06	Modern Defense	B	semi_open/pirc_modern	1	1	0.7500
18ee80ba924162c1	74905eda183a4d41	4	B00	Rat Defense: Antal Defense	B	semi_open/pirc_modern	1	1	0.7500
047acfd9d5bdfc7f	7665256c9f48ecfd	10	A06	Zukertort Opening: Tennison Gambit, Brigg's Trap	A	flank/zukertort	1	1	0.9800
7979a06bc93a825f	78b992e5e8ca1925	3	C20	Center Game	C	open_games/center_game	1	1	0.7000
407b753292e388eb	7a100ede20ab375d	13	C14	French Defense: Classical Variation, Steinitz Variation	C	open_games/french	1	1	0.9800
0bfc30d3ec742a15	7ae606669161091c	8	A13	English Opening: Neo-Catalan Declined	A	flank/english	1	1	0.9500
7f019532a603adaa	7c2e06fc0282e782	6	C02	French Defense: Advance Variation	C	open_games/french	1	1	0.8500
74b287a1198c52be	7c30b425d152b8f9	6	E20	Nimzo-Indian Defense	E	indian/nimzo_indian	5	5	0.8500
eb011d19f7228b88	7c30b425d152b8f9	6	E20	Nimzo-Indian Defense	E	indian/nimzo_indian	2	2	0.8500
1dbd848e266b874a	7d8d8d8ce3ced207	5	D00	Queen's Pawn Game: Stonewall Attack	D	queen_pawn/queen_pawn_system	1	1	0.8000
d39699846d4e6e78	7e182187f729dbf2	5	B13	Caro-Kann Defense: Exchange Variation	B	semi_open/caro_kann	2	2	0.8000
13763f491b377740	80c8b89e094f7b94	2	B20	Sicilian Defense	B	semi_open/sicilian	2	2	0.6500
c506b9b5bd8f1010	81e99ecb7c3114ca	11	B09	Pirc Defense: Austrian Attack, Weiss Variation	B	semi_open/pirc_modern	1	1	0.9800
22240b04acb2a558	82a43116d94087b7	15	B19	Caro-Kann Defense: Classical Variation, Spassky Variation	B	semi_open/caro_kann	1	1	0.9800
65287bdae1acfcbb	84a403e8e8e53673	5	B06	Modern Defense: Standard Line	B	semi_open/pirc_modern	1	1	0.8000
c22ec01c0dcb40f1	8561523919143711	3	C00	French Defense: La Bourdonnais Variation	C	open_games/french	1	1	0.7000
1ee75793ae56d14f	85976848ae268013	7	D05	Queen's Pawn Game: Colle System	D	queen_pawn/queen_pawn_system	1	1	0.9000
a4743cbecd104f5b	86880f3314f5371b	2	A04	Zukertort Opening: Sicilian Invitation	A	flank/zukertort	2	2	0.6500
