2025-12-20 05:16:20.626 [pool-6-thread-11] ERROR chess.engine.client - Failed to start: Cannot run program "mock": CreateProcess error=2, 지정된 파일을 찾을 수 없습니다
2025-12-20 05:16:22.349 [pool-6-thread-7] INFO  chess.analysis.BookBuilder - Generated Book: OpeningReview: 1. Tags: Greed=0, Refuted=0
2025-12-20 05:25:27.288 [pool-6-thread-2] ERROR chess.engine.client - Failed to start: Cannot run program "mock": CreateProcess error=2, 지정된 파일을 찾을 수 없습니다
2025-12-20 05:25:28.949 [pool-6-thread-13] INFO  chess.analysis.BookBuilder - Generated Book: OpeningReview: 1. Tags: Greed=0, Refuted=0
2025-12-20 05:27:01.078 [pool-6-thread-11] ERROR chess.engine.client - Failed to start: Cannot run program "mock": CreateProcess error=2, 지정된 파일을 찾을 수 없습니다
2025-12-20 05:45:12.208 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Mock Engine Crash
2025-12-20 05:45:12.211 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.804 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.809 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.812 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.817 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.817 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.817 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.822 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.822 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.822 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.826 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.826 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.826 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.829 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.829 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.830 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.834 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.834 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.834 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.837 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.838 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.838 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.842 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.850 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.853 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.854 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.854 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.856 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.856 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.856 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.871 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.995 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:12.998 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.047 [pool-6-thread-6] INFO  chess.analysis.BookBuilder - Generated Book: OpeningReview: 1. Tags: Greed=0, Refuted=0
2025-12-20 05:45:13.234 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.246 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.247 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.247 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.259 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.259 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.259 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.259 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.259 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.273 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.274 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.274 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.275 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
